Scientific_Name,Habitat,count
"Strix varia",Grassland,2
"Eremophila alpestris",Forest,1
"Melospiza georgiana",Forest,1
"Archilochus colubris",Forest,1
"Oporornis formosus",Forest,1
"Coragyps atratus",Forest,1
"Vermivora cyanoptera",Forest,1
"Falco peregrinus",Forest,1
"Charadrius vociferus",Forest,1
Tyrannidae,Forest,1
"Oreothlypis ruficapilla",Forest,1
"Oreothlypis peregrina",Forest,1
"Melanerpes erythrocephalus",Forest,1
"Aix sponsa",Grassland,1
"Corvus caurinus",Grassland,1
"Piranga rubra",Grassland,1
"Vireo griseus",Grassland,1
"Seiurus aurocapillus",Grassland,1
"Setophaga magnolia",Grassland,1
"Catharus ustulatus",Grassland,1
"Passerculus sandwichensis",Grassland,1
"Ardeola bacchus",Grassland,1
"Setophaga pensylvanica",Grassland,1
Tyrannidae,Grassland,1
"Oporornis formosus",Grassland,1
"Ceryle alcyon",Grassland,1
Parulidae,Grassland,1
"Parkesia noveboracensis",Grassland,1
"Setophaga virens",Grassland,1
"Mniotilta varia",Grassland,1
"Zonotrichia albicollis",Grassland,1
"Melospiza georgiana",Grassland,1
"Setophaga castanea",Grassland,1
"Setophaga tigrina",Grassland,1
"Empidonax minimus",Grassland,1
